Week,Day,Date,year,sf_rec,opp_rec,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms,win_lose,home_away,point_diff,turnover_diff
1,Sun,Sep-08,2019,1,0,Tampa Bay Buccaneers,31,17,17,256,158,98,2.0,21,295,174,121,4.0,-7.51,19.12,1.1,1,0,14,2.0
2,Sun,Sep-15,2019,2,0,Cincinnati Bengals,41,17,27,571,312,259,1.0,14,316,291,25,1.0,27.34,1.14,-6.64,1,0,24,0.0
3,Sun,Sep-22,2019,3,0,Pittsburgh Steelers,24,20,26,436,268,168,5.0,11,239,160,79,2.0,-3.72,10.2,0.12,1,1,4,-3.0
5,Mon,Oct-07,2019,4,0,Cleveland Browns,31,3,22,446,171,275,,9,180,78,102,4.0,12.38,22.56,-10.5,1,1,28,
6,Sun,Oct-13,2019,5,0,Los Angeles Rams,20,7,22,331,232,99,2.0,10,157,48,109,1.0,-3.54,25.23,-5.01,1,0,13,-1.0
7,Sun,Oct-20,2019,6,0,Washington Redskins,9,0,17,283,146,137,1.0,10,154,50,104,1.0,-1.99,14.12,-0.61,1,0,9,0.0
8,Sun,Oct-27,2019,7,0,Carolina Panthers,51,13,24,388,156,232,1.0,12,230,100,130,3.0,15.84,30.05,-7.14,1,1,38,2.0
9,Thu,Oct-31,2019,8,0,Arizona Cardinals,28,25,21,411,310,101,,19,357,204,153,,18.45,-13.71,0.88,1,0,3,
10,Mon,Nov-11,2019,8,1,Seattle Seahawks,24,27,21,302,215,87,3.0,19,336,189,147,4.0,-17.73,17.69,-4.23,0,1,-3,1.0
11,Sun,Nov-17,2019,9,1,Arizona Cardinals,36,26,26,442,408,34,2.0,21,266,131,135,2.0,8.92,-0.09,1.17,1,1,10,0.0
12,Sun,Nov-24,2019,10,1,Green Bay Packers,37,8,16,339,227,112,,19,198,81,117,1.0,10.66,14.62,0.67,1,1,29,
13,Sun,Dec-01,2019,10,2,Baltimore Ravens,17,20,15,331,157,174,1.0,21,283,105,178,1.0,6.2,-6.4,-1.2,0,0,-3,0.0
14,Sun,Dec-08,2019,11,2,New Orleans Saints,48,46,25,516,354,162,1.0,28,465,349,116,1.0,27.42,-21.97,-3.51,1,0,2,0.0
15,Sun,Dec-15,2019,11,3,Atlanta Falcons,22,29,20,313,193,120,2.0,20,290,201,89,1.0,2.84,-7.04,-2.73,0,1,-7,-1.0
16,Sat,Dec-21,2019,12,3,Los Angeles Rams,34,31,19,334,215,119,2.0,24,395,323,72,1.0,3.67,-3.16,1.84,1,1,3,-1.0
17,Sun,Dec-29,2019,13,3,Seattle Seahawks,26,21,18,398,270,128,,27,348,223,125,,17.28,-10.85,-3.02,1,0,5,
